TEMPORADA,DIVISIÓN,JORNADA,LOCAL,VISITANTE,RESULTADO
1985-1986,2,6,Sestao         ,Real Madrid B  ,2-0
1985-1986,2,6,Mallorca       ,Rayo Vallecano ,1-0
1985-1986,2,6,Logroñés       ,Rec. Huelva    ,3-0
1985-1986,2,6,Ath. Bilbao B  ,Cartagena F.C. ,4-0
1985-1986,2,6,Sabadell       ,Elche          ,0-1
1985-1986,2,7,Castellón      ,Barcelona B    ,0-1
1985-1986,2,7,Murcia         ,Málaga (C.D.)  ,1-2
1985-1986,2,7,Tenerife       ,Zaragoza B     ,1-1
1985-1986,2,7,Oviedo         ,At. Madrid B   ,1-0
1985-1986,2,7,Dptivo. Coruña ,Sestao         ,0-0
1985-1986,2,7,Real Madrid B  ,Mallorca       ,1-1
1985-1986,2,7,Rayo Vallecano ,Logroñés       ,1-1
1985-1986,2,7,Rec. Huelva    ,Ath. Bilbao B  ,6-1
1985-1986,2,7,Cartagena F.C. ,Sabadell       ,1-1
1985-1986,2,7,Albacete       ,Elche          ,1-2
1985-1986,2,8,Barcelona B    ,Albacete       ,1-2
1985-1986,2,8,Málaga (C.D.)  ,Castellón      ,3-0
1985-1986,2,8,Zaragoza B     ,Murcia         ,1-0
1985-1986,2,8,At. Madrid B   ,Tenerife       ,0-0
1985-1986,2,8,Sestao         ,Oviedo         ,0-2
1985-1986,2,8,Mallorca       ,Dptivo. Coruña ,1-2
1985-1986,2,8,Logroñés       ,Real Madrid B  ,3-1
1985-1986,2,8,Ath. Bilbao B  ,Rayo Vallecano ,1-3
1985-1986,2,8,Sabadell       ,Rec. Huelva    ,4-2
1985-1986,2,8,Elche          ,Cartagena F.C. ,2-1
1985-1986,2,9,Barcelona B    ,Málaga (C.D.)  ,2-2
1985-1986,2,9,Castellón      ,Zaragoza B     ,2-2
1985-1986,2,9,Murcia         ,At. Madrid B   ,1-0
1985-1986,2,9,Tenerife       ,Sestao         ,2-1
1985-1986,2,9,Oviedo         ,Mallorca       ,1-2
1985-1986,2,9,Dptivo. Coruña ,Logroñés       ,1-1
1985-1986,2,9,Real Madrid B  ,Ath. Bilbao B  ,1-0
1985-1986,2,9,Rayo Vallecano ,Sabadell       ,3-2
1985-1986,2,9,Rec. Huelva    ,Elche          ,2-1
1985-1986,2,9,Albacete       ,Cartagena F.C. ,1-1
1985-1986,2,0,Málaga (C.D.)  ,Albacete       ,0-0
1985-1986,2,0,Zaragoza B     ,Barcelona B    ,0-0
1985-1986,2,0,At. Madrid B   ,Castellón      ,1-4
1985-1986,2,0,Sestao         ,Murcia         ,1-4
1985-1986,2,0,Mallorca       ,Tenerife       ,1-0
1985-1986,2,0,Logroñés       ,Oviedo         ,2-0
1985-1986,2,0,Ath. Bilbao B  ,Dptivo. Coruña ,2-0
1985-1986,2,0,Sabadell       ,Real Madrid B  ,2-1
1985-1986,2,0,Elche          ,Rayo Vallecano ,3-1
1985-1986,2,0,Cartagena F.C. ,Rec. Huelva    ,1-0
1985-1986,2,1,Málaga (C.D.)  ,Zaragoza B     ,1-0
1985-1986,2,1,Barcelona B    ,At. Madrid B   ,1-3
1985-1986,2,1,Castellón      ,Sestao         ,4-0
1985-1986,2,1,Murcia         ,Mallorca       ,2-1
1985-1986,2,1,Tenerife       ,Logroñés       ,0-0
1985-1986,2,1,Oviedo         ,Ath. Bilbao B  ,1-1
1985-1986,2,1,Dptivo. Coruña ,Sabadell       ,1-1
1985-1986,2,1,Real Madrid B  ,Elche          ,2-3
1985-1986,2,1,Rayo Vallecano ,Cartagena F.C. ,2-1
1985-1986,2,1,Albacete       ,Rec. Huelva    ,2-1
1985-1986,2,2,Zaragoza B     ,Albacete       ,1-0
1985-1986,2,2,At. Madrid B   ,Málaga (C.D.)  ,1-1
1985-1986,2,2,Sestao         ,Barcelona B    ,2-0
1985-1986,2,2,Mallorca       ,Castellón      ,4-1
1985-1986,2,2,Logroñés       ,Murcia         ,1-2
1985-1986,2,2,Ath. Bilbao B  ,Tenerife       ,2-1
1985-1986,2,2,Sabadell       ,Oviedo         ,0-1
1985-1986,2,2,Elche          ,Dptivo. Coruña ,2-0
1985-1986,2,2,Cartagena F.C. ,Real Madrid B  ,0-1
1985-1986,2,2,Rec. Huelva    ,Rayo Vallecano ,3-2
1985-1986,2,3,Zaragoza B     ,At. Madrid B   ,1-2
1985-1986,2,3,Málaga (C.D.)  ,Sestao         ,2-3
1985-1986,2,3,Barcelona B    ,Mallorca       ,4-1
1985-1986,2,3,Castellón      ,Logroñés       ,3-2
1985-1986,2,3,Murcia         ,Ath. Bilbao B  ,2-2
1985-1986,2,3,Tenerife       ,Sabadell       ,2-2
1985-1986,2,3,Oviedo         ,Elche          ,3-0
1985-1986,2,3,Dptivo. Coruña ,Cartagena F.C. ,2-1
1985-1986,2,3,Real Madrid B  ,Rec. Huelva    ,3-4
1985-1986,2,3,Albacete       ,Rayo Vallecano ,4-1
1985-1986,2,4,At. Madrid B   ,Albacete       ,2-1
1985-1986,2,4,Sestao         ,Zaragoza B     ,2-0
1985-1986,2,4,Mallorca       ,Málaga (C.D.)  ,3-2
1985-1986,2,4,Logroñés       ,Barcelona B    ,0-0
1985-1986,2,4,Ath. Bilbao B  ,Castellón      ,2-1
1985-1986,2,4,Sabadell       ,Murcia         ,2-1
1985-1986,2,4,Elche          ,Tenerife       ,1-2
1985-1986,2,4,Cartagena F.C. ,Oviedo         ,0-0
1985-1986,2,4,Rec. Huelva    ,Dptivo. Coruña ,1-1
1985-1986,2,4,Rayo Vallecano ,Real Madrid B  ,1-1
1985-1986,2,5,At. Madrid B   ,Sestao         ,1-3
1985-1986,2,5,Zaragoza B     ,Mallorca       ,3-2
1985-1986,2,5,Málaga (C.D.)  ,Logroñés       ,0-0
1985-1986,2,5,Barcelona B    ,Ath. Bilbao B  ,0-1
1985-1986,2,5,Castellón      ,Sabadell       ,0-3
1985-1986,2,5,Murcia         ,Elche          ,3-1
1985-1986,2,5,Tenerife       ,Cartagena F.C. ,3-0
1985-1986,2,5,Oviedo         ,Rec. Huelva    ,1-1
1985-1986,2,5,Dptivo. Coruña ,Rayo Vallecano ,2-1
1985-1986,2,5,Albacete       ,Real Madrid B  ,0-2
1985-1986,2,6,Sestao         ,Albacete       ,2-0
1985-1986,2,6,Mallorca       ,At. Madrid B   ,3-0
1985-1986,2,6,Logroñés       ,Zaragoza B     ,1-0
1985-1986,2,6,Ath. Bilbao B  ,Málaga (C.D.)  ,0-1
1985-1986,2,6,Sabadell       ,Barcelona B    ,3-1
1985-1986,2,6,Elche          ,Castellón      ,2-0
1985-1986,2,6,Cartagena F.C. ,Murcia         ,1-2
1985-1986,2,6,Rec. Huelva    ,Tenerife       ,4-1
1985-1986,2,6,Rayo Vallecano ,Oviedo         ,3-0
1985-1986,2,6,Real Madrid B  ,Dptivo. Coruña ,1-1
1985-1986,2,7,Sestao         ,Mallorca       ,0-0
1985-1986,2,7,At. Madrid B   ,Logroñés       ,1-0
1985-1986,2,7,Zaragoza B     ,Ath. Bilbao B  ,1-2
1985-1986,2,7,Málaga (C.D.)  ,Sabadell       ,1-1
1985-1986,2,7,Barcelona B    ,Elche          ,1-1
1985-1986,2,7,Castellón      ,Cartagena F.C. ,1-0
1985-1986,2,7,Murcia         ,Rec. Huelva    ,2-0
1985-1986,2,7,Tenerife       ,Rayo Vallecano ,0-0
1985-1986,2,7,Oviedo         ,Real Madrid B  ,3-0
1985-1986,2,7,Albacete       ,Dptivo. Coruña ,1-0
1985-1986,2,8,Albacete       ,Mallorca       ,2-0
1985-1986,2,8,Logroñés       ,Sestao         ,1-1
1985-1986,2,8,Ath. Bilbao B  ,At. Madrid B   ,5-0
1985-1986,2,8,Sabadell       ,Zaragoza B     ,2-0
1985-1986,2,8,Elche          ,Málaga (C.D.)  ,0-0
1985-1986,2,8,Cartagena F.C. ,Barcelona B    ,0-2
1985-1986,2,8,Rec. Huelva    ,Castellón      ,2-1
1985-1986,2,8,Rayo Vallecano ,Murcia         ,0-0
1985-1986,2,8,Real Madrid B  ,Tenerife       ,1-3
1985-1986,2,8,Dptivo. Coruña ,Oviedo         ,2-2
1985-1986,2,9,Mallorca       ,Logroñés       ,2-1
1985-1986,2,9,Sestao         ,Ath. Bilbao B  ,0-0
1985-1986,2,9,At. Madrid B   ,Sabadell       ,0-0
1985-1986,2,9,Zaragoza B     ,Elche          ,3-2
1985-1986,2,9,Málaga (C.D.)  ,Cartagena F.C. ,1-3
1985-1986,2,9,Barcelona B    ,Rec. Huelva    ,2-1
1985-1986,2,9,Castellón      ,Rayo Vallecano ,4-2
1985-1986,2,9,Murcia         ,Real Madrid B  ,6-1
1985-1986,2,9,Tenerife       ,Dptivo. Coruña ,0-2
1985-1986,2,9,Oviedo         ,Albacete       ,5-1
1985-1986,2,0,Tenerife       ,Oviedo         ,1-1
1985-1986,2,0,Murcia         ,Dptivo. Coruña ,1-1
1985-1986,2,0,Castellón      ,Real Madrid B  ,4-0
1985-1986,2,0,Barcelona B    ,Rayo Vallecano ,1-0
1985-1986,2,0,Málaga (C.D.)  ,Rec. Huelva    ,2-0
1985-1986,2,0,Zaragoza B     ,Cartagena F.C. ,1-1
1985-1986,2,0,At. Madrid B   ,Elche          ,0-1
1985-1986,2,0,Sestao         ,Sabadell       ,2-0
1985-1986,2,0,Mallorca       ,Ath. Bilbao B  ,2-0
1985-1986,2,0,Logroñés       ,Albacete       ,0-1
1985-1986,2,1,Albacete       ,Tenerife       ,1-0
1985-1986,2,1,Oviedo         ,Murcia         ,1-1
1985-1986,2,1,Dptivo. Coruña ,Castellón      ,1-1
1985-1986,2,1,Real Madrid B  ,Barcelona B    ,1-0
1985-1986,2,1,Rayo Vallecano ,Málaga (C.D.)  ,0-2
1985-1986,2,1,Rec. Huelva    ,Zaragoza B     ,0-0
1985-1986,2,1,Cartagena F.C. ,At. Madrid B   ,0-1
1985-1986,2,1,Elche          ,Sestao         ,2-1
1985-1986,2,1,Sabadell       ,Mallorca       ,2-1
1985-1986,2,1,Ath. Bilbao B  ,Logroñés       ,2-0
1985-1986,2,2,Murcia         ,Tenerife       ,2-0
1985-1986,2,2,Castellón      ,Oviedo         ,2-0
1985-1986,2,2,Barcelona B    ,Dptivo. Coruña ,1-0
1985-1986,2,2,Málaga (C.D.)  ,Real Madrid B  ,1-0
1985-1986,2,2,Zaragoza B     ,Rayo Vallecano ,2-2
1985-1986,2,2,At. Madrid B   ,Rec. Huelva    ,0-0
1985-1986,2,2,Sestao         ,Cartagena F.C. ,0-1
1985-1986,2,2,Mallorca       ,Elche          ,1-0
1985-1986,2,2,Logroñés       ,Sabadell       ,1-0
1985-1986,2,2,Ath. Bilbao B  ,Albacete       ,2-0
1985-1986,2,3,Albacete       ,Murcia         ,0-2
1985-1986,2,3,Tenerife       ,Castellón      ,0-1
1985-1986,2,3,Oviedo         ,Barcelona B    ,3-1
1985-1986,2,3,Dptivo. Coruña ,Málaga (C.D.)  ,3-0
1985-1986,2,3,Real Madrid B  ,Zaragoza B     ,1-0
1985-1986,2,3,Rayo Vallecano ,At. Madrid B   ,3-1
1985-1986,2,3,Rec. Huelva    ,Sestao         ,3-1
1985-1986,2,3,Cartagena F.C. ,Mallorca       ,0-0
1985-1986,2,3,Elche          ,Logroñés       ,1-0
1985-1986,2,3,Sabadell       ,Ath. Bilbao B  ,0-0
1985-1986,2,4,Castellón      ,Murcia         ,1-1
1985-1986,2,4,Barcelona B    ,Tenerife       ,1-0
1985-1986,2,4,Málaga (C.D.)  ,Oviedo         ,1-1
1985-1986,2,4,Zaragoza B     ,Dptivo. Coruña ,2-1
1985-1986,2,4,At. Madrid B   ,Real Madrid B  ,2-0
1985-1986,2,4,Sestao         ,Rayo Vallecano ,4-1
1985-1986,2,4,Mallorca       ,Rec. Huelva    ,2-3
1985-1986,2,4,Logroñés       ,Cartagena F.C. ,1-1
1985-1986,2,4,Ath. Bilbao B  ,Elche          ,2-0
1985-1986,2,4,Sabadell       ,Albacete       ,1-0
1985-1986,2,5,Albacete       ,Castellón      ,0-0
1985-1986,2,5,Murcia         ,Barcelona B    ,2-0
1985-1986,2,5,Tenerife       ,Málaga (C.D.)  ,3-1
1985-1986,2,5,Oviedo         ,Zaragoza B     ,1-0
1985-1986,2,5,Dptivo. Coruña ,At. Madrid B   ,2-1
1985-1986,2,5,Real Madrid B  ,Sestao         ,3-2
1985-1986,2,5,Rayo Vallecano ,Mallorca       ,1-1
1985-1986,2,5,Rec. Huelva    ,Logroñés       ,3-3
1985-1986,2,5,Cartagena F.C. ,Ath. Bilbao B  ,1-1
1985-1986,2,5,Elche          ,Sabadell       ,0-0
1985-1986,2,6,Barcelona B    ,Castellón      ,3-1
1985-1986,2,6,Málaga (C.D.)  ,Murcia         ,0-1
1985-1986,2,6,Zaragoza B     ,Tenerife       ,3-1
1985-1986,2,6,At. Madrid B   ,Oviedo         ,0-3
1985-1986,2,6,Sestao         ,Dptivo. Coruña ,3-1
1985-1986,2,6,Mallorca       ,Real Madrid B  ,1-0
1985-1986,2,6,Logroñés       ,Rayo Vallecano ,0-1
1985-1986,2,6,Ath. Bilbao B  ,Rec. Huelva    ,3-2
1985-1986,2,6,Sabadell       ,Cartagena F.C. ,2-3
1985-1986,2,6,Elche          ,Albacete       ,1-0
1985-1986,2,7,Albacete       ,Barcelona B    ,2-1
1985-1986,2,7,Castellón      ,Málaga (C.D.)  ,2-1
1985-1986,2,7,Murcia         ,Zaragoza B     ,2-1
1985-1986,2,7,Tenerife       ,At. Madrid B   ,2-2
1985-1986,2,7,Oviedo         ,Sestao         ,1-0
1985-1986,2,7,Dptivo. Coruña ,Mallorca       ,1-1
1985-1986,2,7,Real Madrid B  ,Logroñés       ,3-1
1985-1986,2,7,Rayo Vallecano ,Ath. Bilbao B  ,2-0
1985-1986,2,7,Rec. Huelva    ,Sabadell       ,2-1
1985-1986,2,7,Cartagena F.C. ,Elche          ,2-1
1985-1986,2,8,Málaga (C.D.)  ,Barcelona B    ,0-0
1985-1986,2,8,Zaragoza B     ,Castellón      ,1-2
1985-1986,2,8,At. Madrid B   ,Murcia         ,0-3
1985-1986,2,8,Sestao         ,Tenerife       ,3-1
1985-1986,2,8,Mallorca       ,Oviedo         ,2-0
1985-1986,2,8,Logroñés       ,Dptivo. Coruña ,3-0
1985-1986,2,8,Ath. Bilbao B  ,Real Madrid B  ,3-1
1985-1986,2,8,Sabadell       ,Rayo Vallecano ,3-0
1985-1986,2,8,Elche          ,Rec. Huelva    ,0-2
1985-1986,2,8,Cartagena F.C. ,Albacete       ,4-0
1985-1986,2,9,Albacete       ,Málaga (C.D.)  ,0-1
1985-1986,2,9,Barcelona B    ,Zaragoza B     ,2-1
1985-1986,2,9,Castellón      ,At. Madrid B   ,4-0
1985-1986,2,9,Murcia         ,Sestao         ,1-0
1985-1986,2,9,Tenerife       ,Mallorca       ,2-2
1985-1986,2,9,Oviedo         ,Logroñés       ,2-1
1985-1986,2,9,Dptivo. Coruña ,Ath. Bilbao B  ,4-0
1985-1986,2,9,Real Madrid B  ,Sabadell       ,1-1
1985-1986,2,9,Rayo Vallecano ,Elche          ,0-0
1985-1986,2,9,Rec. Huelva    ,Cartagena F.C. ,1-0
1985-1986,2,0,Zaragoza B     ,Málaga (C.D.)  ,2-3
1985-1986,2,0,At. Madrid B   ,Barcelona B    ,1-3
1985-1986,2,0,Sestao         ,Castellón      ,1-0
1985-1986,2,0,Mallorca       ,Murcia         ,2-0
1985-1986,2,0,Logroñés       ,Tenerife       ,4-2
1985-1986,2,0,Ath. Bilbao B  ,Oviedo         ,2-1
1985-1986,2,0,Sabadell       ,Dptivo. Coruña ,0-0
1985-1986,2,0,Elche          ,Real Madrid B  ,2-1
1985-1986,2,0,Cartagena F.C. ,Rayo Vallecano ,2-0
1985-1986,2,0,Rec. Huelva    ,Albacete       ,1-1
1985-1986,2,1,Albacete       ,Zaragoza B     ,4-1
1985-1986,2,1,Málaga (C.D.)  ,At. Madrid B   ,3-0
1985-1986,2,1,Barcelona B    ,Sestao         ,0-2
1985-1986,2,1,Castellón      ,Mallorca       ,0-0
1985-1986,2,1,Murcia         ,Logroñés       ,3-1
1985-1986,2,1,Tenerife       ,Ath. Bilbao B  ,2-0
1985-1986,2,1,Oviedo         ,Sabadell       ,0-0
1985-1986,2,1,Dptivo. Coruña ,Elche          ,2-0
1985-1986,2,1,Real Madrid B  ,Cartagena F.C. ,2-1
1985-1986,2,1,Rayo Vallecano ,Rec. Huelva    ,2-1
1985-1986,2,2,At. Madrid B   ,Zaragoza B     ,0-1
1985-1986,2,2,Sestao         ,Málaga (C.D.)  ,3-0
1985-1986,2,2,Mallorca       ,Barcelona B    ,1-0
1985-1986,2,2,Logroñés       ,Castellón      ,0-1
1985-1986,2,2,Ath. Bilbao B  ,Murcia         ,1-0
1985-1986,2,2,Sabadell       ,Tenerife       ,3-1
1985-1986,2,2,Elche          ,Oviedo         ,0-0
1985-1986,2,2,Cartagena F.C. ,Dptivo. Coruña ,1-1
1985-1986,2,2,Rec. Huelva    ,Real Madrid B  ,1-1
1985-1986,2,2,Rayo Vallecano ,Albacete       ,3-0
1985-1986,2,3,Albacete       ,At. Madrid B   ,3-2
1985-1986,2,3,Zaragoza B     ,Sestao         ,1-1
1985-1986,2,3,Málaga (C.D.)  ,Mallorca       ,0-0
1985-1986,2,3,Barcelona B    ,Logroñés       ,2-1
1985-1986,2,3,Castellón      ,Ath. Bilbao B  ,0-0
1985-1986,2,3,Murcia         ,Sabadell       ,0-2
1985-1986,2,3,Tenerife       ,Elche          ,1-2
1985-1986,2,3,Oviedo         ,Cartagena F.C. ,2-0
1985-1986,2,3,Dptivo. Coruña ,Rec. Huelva    ,2-1
1985-1986,2,3,Real Madrid B  ,Rayo Vallecano ,1-0
1985-1986,2,4,Sestao         ,At. Madrid B   ,1-0
1985-1986,2,4,Mallorca       ,Zaragoza B     ,4-1
1985-1986,2,4,Logroñés       ,Málaga (C.D.)  ,2-2
1985-1986,2,4,Ath. Bilbao B  ,Barcelona B    ,6-2
1985-1986,2,4,Sabadell       ,Castellón      ,1-1
1985-1986,2,4,Elche          ,Murcia         ,0-0
1985-1986,2,4,Cartagena F.C. ,Tenerife       ,2-0
1985-1986,2,4,Rec. Huelva    ,Oviedo         ,1-0
1985-1986,2,4,Rayo Vallecano ,Dptivo. Coruña ,1-2
1985-1986,2,4,Real Madrid B  ,Albacete       ,5-0
1985-1986,2,5,Albacete       ,Sestao         ,2-1
1985-1986,2,5,At. Madrid B   ,Mallorca       ,0-1
1985-1986,2,5,Zaragoza B     ,Logroñés       ,0-1
1985-1986,2,5,Málaga (C.D.)  ,Ath. Bilbao B  ,6-1
1985-1986,2,5,Barcelona B    ,Sabadell       ,0-1
1985-1986,2,5,Castellón      ,Elche          ,0-0
1985-1986,2,5,Murcia         ,Cartagena F.C. ,3-1
1985-1986,2,5,Tenerife       ,Rec. Huelva    ,3-0
1985-1986,2,5,Oviedo         ,Rayo Vallecano ,2-1
1985-1986,2,5,Dptivo. Coruña ,Real Madrid B  ,1-0
1985-1986,2,6,Mallorca       ,Sestao         ,4-1
1985-1986,2,6,Logroñés       ,At. Madrid B   ,2-2
1985-1986,2,6,Ath. Bilbao B  ,Zaragoza B     ,1-1
1985-1986,2,6,Sabadell       ,Málaga (C.D.)  ,1-0
1985-1986,2,6,Elche          ,Barcelona B    ,2-0
1985-1986,2,6,Cartagena F.C. ,Castellón      ,1-1
1985-1986,2,6,Rec. Huelva    ,Murcia         ,2-0
1985-1986,2,6,Rayo Vallecano ,Tenerife       ,2-0
1985-1986,2,6,Real Madrid B  ,Oviedo         ,2-3
1985-1986,2,6,Dptivo. Coruña ,Albacete       ,3-0
1985-1986,2,7,Mallorca       ,Albacete       ,3-1
1985-1986,2,7,Sestao         ,Logroñés       ,3-0
1985-1986,2,7,At. Madrid B   ,Ath. Bilbao B  ,0-1
1985-1986,2,7,Zaragoza B     ,Sabadell       ,0-3
1985-1986,2,7,Málaga (C.D.)  ,Elche          ,1-2
1985-1986,2,7,Barcelona B    ,Cartagena F.C. ,1-1
1985-1986,2,7,Castellón      ,Rec. Huelva    ,5-1
1985-1986,2,7,Murcia         ,Rayo Vallecano ,0-0
1985-1986,2,7,Tenerife       ,Real Madrid B  ,1-1
1985-1986,2,7,Oviedo         ,Dptivo. Coruña ,1-0
1985-1986,2,8,Logroñés       ,Mallorca       ,1-2
1985-1986,2,8,Ath. Bilbao B  ,Sestao         ,2-0
1985-1986,2,8,Sabadell       ,At. Madrid B   ,2-0
1985-1986,2,8,Elche          ,Zaragoza B     ,2-0
1985-1986,2,8,Cartagena F.C. ,Málaga (C.D.)  ,1-1
1985-1986,2,8,Rec. Huelva    ,Barcelona B    ,3-1
1985-1986,2,8,Rayo Vallecano ,Castellón      ,0-2
1985-1986,2,8,Real Madrid B  ,Murcia         ,0-3
1985-1986,2,8,Dptivo. Coruña ,Tenerife       ,2-1
1985-1986,2,8,Albacete       ,Oviedo         ,0-0
1986-1987,1,1,Barcelona      ,Rac. Santander ,2-0
1986-1987,1,1,Osasuna        ,Mallorca       ,0-0
1986-1987,1,1,Real Sociedad  ,Cádiz          ,4-0
1986-1987,1,1,Betis          ,Sabadell       ,1-0
1986-1987,1,1,Zaragoza       ,Sevilla        ,2-0
1986-1987,1,1,Sporting Gijón ,Ath. Bilbao    ,2-0
1986-1987,1,1,Las Palmas     ,Valladolid     ,2-0
1986-1987,1,1,Murcia         ,Real Madrid    ,1-3
1986-1987,1,1,At. Madrid     ,Espanyol       ,1-1
1986-1987,1,2,Rac. Santander ,At. Madrid     ,1-1
1986-1987,1,2,Mallorca       ,Barcelona      ,1-1
1986-1987,1,2,Cádiz          ,Osasuna        ,0-0
1986-1987,1,2,Sabadell       ,Real Sociedad  ,2-2
1986-1987,1,2,Sevilla        ,Betis          ,1-2
1986-1987,1,2,Ath. Bilbao    ,Zaragoza       ,1-0
1986-1987,1,2,Valladolid     ,Sporting Gijón ,2-0
1986-1987,1,2,Real Madrid    ,Las Palmas     ,1-1
1986-1987,1,2,Espanyol       ,Murcia         ,2-0
1986-1987,1,3,Rac. Santander ,Mallorca       ,1-2
1986-1987,1,3,Barcelona      ,Cádiz          ,2-0
1986-1987,1,3,Osasuna        ,Sabadell       ,1-1
1986-1987,1,3,Real Sociedad  ,Sevilla        ,0-2
1986-1987,1,3,Betis          ,Ath. Bilbao    ,0-0
1986-1987,1,3,Zaragoza       ,Valladolid     ,0-0
1986-1987,1,3,Sporting Gijón ,Real Madrid    ,2-2
1986-1987,1,3,Las Palmas     ,Espanyol       ,3-2
1986-1987,1,3,At. Madrid     ,Murcia         ,2-0
1986-1987,1,4,Mallorca       ,At. Madrid     ,4-3
1986-1987,1,4,Cádiz          ,Rac. Santander ,3-0
1986-1987,1,4,Sabadell       ,Barcelona      ,1-1
1986-1987,1,4,Sevilla        ,Osasuna        ,1-1
1986-1987,1,4,Ath. Bilbao    ,Real Sociedad  ,1-1
1986-1987,1,4,Valladolid     ,Betis          ,2-1
1986-1987,1,4,Real Madrid    ,Zaragoza       ,3-1
1986-1987,1,4,Espanyol       ,Sporting Gijón ,0-0
1986-1987,1,4,Murcia         ,Las Palmas     ,1-0
1986-1987,1,5,Mallorca       ,Cádiz          ,0-1
1986-1987,1,5,Rac. Santander ,Sabadell       ,3-0
1986-1987,1,5,Barcelona      ,Sevilla        ,1-0
1986-1987,1,5,Osasuna        ,Ath. Bilbao    ,0-1
1986-1987,1,5,Real Sociedad  ,Valladolid     ,1-2
1986-1987,1,5,Betis          ,Real Madrid    ,2-6
1986-1987,1,5,Zaragoza       ,Espanyol       ,0-0
1986-1987,1,5,Sporting Gijón ,Murcia         ,4-1
1986-1987,1,5,At. Madrid     ,Las Palmas     ,1-1
1986-1987,1,6,Cádiz          ,At. Madrid     ,0-1
1986-1987,1,6,Sabadell       ,Mallorca       ,1-3
1986-1987,1,6,Sevilla        ,Rac. Santander ,2-0
1986-1987,1,6,Ath. Bilbao    ,Barcelona      ,2-2
1986-1987,1,6,Valladolid     ,Osasuna        ,1-1
1986-1987,1,6,Real Madrid    ,Real Sociedad  ,1-0
1986-1987,1,6,Espanyol       ,Betis          ,3-1
1986-1987,1,6,Murcia         ,Zaragoza       ,1-2
1986-1987,1,6,Las Palmas     ,Sporting Gijón ,3-4
1986-1987,1,7,Cádiz          ,Sabadell       ,3-1
1986-1987,1,7,Mallorca       ,Sevilla        ,1-1
1986-1987,1,7,Rac. Santander ,Ath. Bilbao    ,2-1
1986-1987,1,7,Barcelona      ,Valladolid     ,3-0
1986-1987,1,7,Osasuna        ,Real Madrid    ,1-0
1986-1987,1,7,Real Sociedad  ,Espanyol       ,3-3
1986-1987,1,7,Betis          ,Murcia         ,3-1
1986-1987,1,7,Zaragoza       ,Las Palmas     ,2-1
1986-1987,1,7,At. Madrid     ,Sporting Gijón ,1-0
1986-1987,1,8,Sabadell       ,At. Madrid     ,0-2
1986-1987,1,8,Sevilla        ,Cádiz          ,0-0
1986-1987,1,8,Ath. Bilbao    ,Mallorca       ,2-1
1986-1987,1,8,Valladolid     ,Rac. Santander ,2-0
1986-1987,1,8,Real Madrid    ,Barcelona      ,1-1
1986-1987,1,8,Espanyol       ,Osasuna        ,1-0
1986-1987,1,8,Murcia         ,Real Sociedad  ,1-2
1986-1987,1,8,Las Palmas     ,Betis          ,0-0
1986-1987,1,8,Sporting Gijón ,Zaragoza       ,1-0
1986-1987,1,9,Sabadell       ,Sevilla        ,2-2
1986-1987,1,9,Cádiz          ,Ath. Bilbao    ,1-0
1986-1987,1,9,Mallorca       ,Valladolid     ,3-2
1986-1987,1,9,Rac. Santander ,Real Madrid    ,0-0
1986-1987,1,9,Barcelona      ,Espanyol       ,1-0
1986-1987,1,9,Osasuna        ,Murcia         ,0-0
1986-1987,1,9,Real Sociedad  ,Las Palmas     ,2-1
1986-1987,1,9,Betis          ,Sporting Gijón ,1-0
1986-1987,1,9,At. Madrid     ,Zaragoza       ,2-1
1986-1987,1,0,Sevilla        ,At. Madrid     ,3-0
1986-1987,1,0,Ath. Bilbao    ,Sabadell       ,4-2
1986-1987,1,0,Valladolid     ,Cádiz          ,1-1
1986-1987,1,0,Real Madrid    ,Mallorca       ,3-0
1986-1987,1,0,Espanyol       ,Rac. Santander ,2-0
1986-1987,1,0,Murcia         ,Barcelona      ,1-0
1986-1987,1,0,Las Palmas     ,Osasuna        ,2-0
1986-1987,1,0,Sporting Gijón ,Real Sociedad  ,0-1
1986-1987,1,0,Zaragoza       ,Betis          ,2-3
1986-1987,1,1,Sevilla        ,Ath. Bilbao    ,3-1
1986-1987,1,1,Sabadell       ,Valladolid     ,1-0
1986-1987,1,1,Cádiz          ,Real Madrid    ,0-0
1986-1987,1,1,Mallorca       ,Espanyol       ,1-1
1986-1987,1,1,Rac. Santander ,Murcia         ,1-1
1986-1987,1,1,Barcelona      ,Las Palmas     ,4-0
1986-1987,1,1,Osasuna        ,Sporting Gijón ,0-2
1986-1987,1,1,Real Sociedad  ,Zaragoza       ,1-0
1986-1987,1,1,At. Madrid     ,Betis          ,1-1
1986-1987,1,2,Ath. Bilbao    ,At. Madrid     ,3-0
1986-1987,1,2,Valladolid     ,Sevilla        ,1-0
1986-1987,1,2,Real Madrid    ,Sabadell       ,4-0
1986-1987,1,2,Espanyol       ,Cádiz          ,1-0
1986-1987,1,2,Murcia         ,Mallorca       ,2-0
1986-1987,1,2,Las Palmas     ,Rac. Santander ,3-2
1986-1987,1,2,Sporting Gijón ,Barcelona      ,0-0
1986-1987,1,2,Zaragoza       ,Osasuna        ,1-0
1986-1987,1,2,Betis          ,Real Sociedad  ,1-0
1986-1987,1,3,Ath. Bilbao    ,Valladolid     ,1-0
1986-1987,1,3,Sevilla        ,Real Madrid    ,0-1
