Espanyol,At. Madrid,22,Espanyol,1972-1973,1ª,2,1
Ath. Bilbao,Las Palmas,22,Ath. Bilbao,1972-1973,1ª,1,0
Real Sociedad,Sporting Gijon,22,Real Sociedad,1972-1973,1ª,0,0
Malaga (C.D.),Castellon,22,Malaga (C.D.),1972-1973,1ª,1,1
Celta,Burgos,22,Celta,1972-1973,1ª,1,0
Burgos,Valencia,23,Burgos,1972-1973,1ª,2,1
Dptivo. Coruña,Oviedo,23,Dptivo. Coruña,1972-1973,1ª,1,1
Zaragoza,Betis,23,Zaragoza,1972-1973,1ª,3,2
Granada,Real Madrid,23,Granada,1972-1973,1ª,1,2
Barcelona,Espanyol,23,Barcelona,1972-1973,1ª,0,1
At. Madrid,Ath. Bilbao,23,At. Madrid,1972-1973,1ª,2,1
Las Palmas,Real Sociedad,23,Las Palmas,1972-1973,1ª,1,0
Sporting Gijon,Malaga (C.D.),23,Sporting Gijon,1972-1973,1ª,2,0
Castellon,Celta,23,Castellon,1972-1973,1ª,5,1
Oviedo,Valencia,24,Oviedo,1972-1973,1ª,3,1
Betis,Dptivo. Coruña,24,Betis,1972-1973,1ª,2,0
Real Madrid,Zaragoza,24,Real Madrid,1972-1973,1ª,0,0
Espanyol,Granada,24,Espanyol,1972-1973,1ª,2,1
Ath. Bilbao,Barcelona,24,Ath. Bilbao,1972-1973,1ª,0,1
Real Sociedad,At. Madrid,24,Real Sociedad,1972-1973,1ª,0,1
Malaga (C.D.),Las Palmas,24,Malaga (C.D.),1972-1973,1ª,0,1
Celta,Sporting Gijon,24,Celta,1972-1973,1ª,3,0
Castellon,Burgos,24,Castellon,1972-1973,1ª,3,1
Burgos,Oviedo,25,Burgos,1972-1973,1ª,0,1
Valencia,Betis,25,Valencia,1972-1973,1ª,2,0
Dptivo. Coruña,Real Madrid,25,Dptivo. Coruña,1972-1973,1ª,0,0
Zaragoza,Espanyol,25,Zaragoza,1972-1973,1ª,1,0
Granada,Ath. Bilbao,25,Granada,1972-1973,1ª,0,0
Barcelona,Real Sociedad,25,Barcelona,1972-1973,1ª,1,0
At. Madrid,Malaga (C.D.),25,At. Madrid,1972-1973,1ª,1,1
Las Palmas,Celta,25,Las Palmas,1972-1973,1ª,0,0
Sporting Gijon,Castellon,25,Sporting Gijon,1972-1973,1ª,1,0
Betis,Oviedo,26,Betis,1972-1973,1ª,0,0
Real Madrid,Valencia,26,Real Madrid,1972-1973,1ª,2,1
Espanyol,Dptivo. Coruña,26,Espanyol,1972-1973,1ª,2,1
Ath. Bilbao,Zaragoza,26,Ath. Bilbao,1972-1973,1ª,1,0
Real Sociedad,Granada,26,Real Sociedad,1972-1973,1ª,1,0
Malaga (C.D.),Barcelona,26,Malaga (C.D.),1972-1973,1ª,2,1
Celta,At. Madrid,26,Celta,1972-1973,1ª,0,1
Castellon,Las Palmas,26,Castellon,1972-1973,1ª,2,1
Sporting Gijon,Burgos,26,Sporting Gijon,1972-1973,1ª,1,2
Burgos,Betis,27,Burgos,1972-1973,1ª,2,1
Oviedo,Real Madrid,27,Oviedo,1972-1973,1ª,1,2
Valencia,Espanyol,27,Valencia,1972-1973,1ª,1,0
Dptivo. Coruña,Ath. Bilbao,27,Dptivo. Coruña,1972-1973,1ª,2,1
Zaragoza,Real Sociedad,27,Zaragoza,1972-1973,1ª,1,1
Granada,Malaga (C.D.),27,Granada,1972-1973,1ª,2,0
Barcelona,Celta,27,Barcelona,1972-1973,1ª,2,0
At. Madrid,Castellon,27,At. Madrid,1972-1973,1ª,1,0
Las Palmas,Sporting Gijon,27,Las Palmas,1972-1973,1ª,1,1
Real Madrid,Betis,28,Real Madrid,1972-1973,1ª,1,1
Espanyol,Oviedo,28,Espanyol,1972-1973,1ª,3,0
Ath. Bilbao,Valencia,28,Ath. Bilbao,1972-1973,1ª,2,0
Real Sociedad,Dptivo. Coruña,28,Real Sociedad,1972-1973,1ª,2,0
Malaga (C.D.),Zaragoza,28,Malaga (C.D.),1972-1973,1ª,2,1
Celta,Granada,28,Celta,1972-1973,1ª,0,0
Castellon,Barcelona,28,Castellon,1972-1973,1ª,4,0
Sporting Gijon,At. Madrid,28,Sporting Gijon,1972-1973,1ª,2,3
Las Palmas,Burgos,28,Las Palmas,1972-1973,1ª,4,1
Burgos,Real Madrid,29,Burgos,1972-1973,1ª,2,3
Betis,Espanyol,29,Betis,1972-1973,1ª,2,2
Oviedo,Ath. Bilbao,29,Oviedo,1972-1973,1ª,2,1
Valencia,Real Sociedad,29,Valencia,1972-1973,1ª,1,0
Dptivo. Coruña,Malaga (C.D.),29,Dptivo. Coruña,1972-1973,1ª,1,0
Zaragoza,Celta,29,Zaragoza,1972-1973,1ª,2,2
Granada,Castellon,29,Granada,1972-1973,1ª,1,1
Barcelona,Sporting Gijon,29,Barcelona,1972-1973,1ª,3,1
At. Madrid,Las Palmas,29,At. Madrid,1972-1973,1ª,2,1
Espanyol,Real Madrid,30,Espanyol,1972-1973,1ª,1,0
Ath. Bilbao,Betis,30,Ath. Bilbao,1972-1973,1ª,1,1
Real Sociedad,Oviedo,30,Real Sociedad,1972-1973,1ª,1,2
Malaga (C.D.),Valencia,30,Malaga (C.D.),1972-1973,1ª,1,1
Celta,Dptivo. Coruña,30,Celta,1972-1973,1ª,1,0
Castellon,Zaragoza,30,Castellon,1972-1973,1ª,1,1
Sporting Gijon,Granada,30,Sporting Gijon,1972-1973,1ª,2,0
Las Palmas,Barcelona,30,Las Palmas,1972-1973,1ª,2,1
At. Madrid,Burgos,30,At. Madrid,1972-1973,1ª,4,2
Burgos,Espanyol,31,Burgos,1972-1973,1ª,1,1
Real Madrid,Ath. Bilbao,31,Real Madrid,1972-1973,1ª,3,3
Betis,Real Sociedad,31,Betis,1972-1973,1ª,1,1
Oviedo,Malaga (C.D.),31,Oviedo,1972-1973,1ª,0,0
Valencia,Celta,31,Valencia,1972-1973,1ª,1,0
Dptivo. Coruña,Castellon,31,Dptivo. Coruña,1972-1973,1ª,1,1
Zaragoza,Sporting Gijon,31,Zaragoza,1972-1973,1ª,3,1
Granada,Las Palmas,31,Granada,1972-1973,1ª,1,0
Barcelona,At. Madrid,31,Barcelona,1972-1973,1ª,0,0
Ath. Bilbao,Espanyol,32,Ath. Bilbao,1972-1973,1ª,1,0
Real Sociedad,Real Madrid,32,Real Sociedad,1972-1973,1ª,1,1
Malaga (C.D.),Betis,32,Malaga (C.D.),1972-1973,1ª,0,0
Celta,Oviedo,32,Celta,1972-1973,1ª,4,2
Castellon,Valencia,32,Castellon,1972-1973,1ª,1,3
Sporting Gijon,Dptivo. Coruña,32,Sporting Gijon,1972-1973,1ª,0,0
Las Palmas,Zaragoza,32,Las Palmas,1972-1973,1ª,1,1
At. Madrid,Granada,32,At. Madrid,1972-1973,1ª,2,1
Barcelona,Burgos,32,Barcelona,1972-1973,1ª,2,0
Ath. Bilbao,Burgos,33,Ath. Bilbao,1972-1973,1ª,4,0
Espanyol,Real Sociedad,33,Espanyol,1972-1973,1ª,1,1
Real Madrid,Malaga (C.D.),33,Real Madrid,1972-1973,1ª,2,0
Betis,Celta,33,Betis,1972-1973,1ª,1,0
Oviedo,Castellon,33,Oviedo,1972-1973,1ª,0,0
Valencia,Sporting Gijon,33,Valencia,1972-1973,1ª,1,0
Dptivo. Coruña,Las Palmas,33,Dptivo. Coruña,1972-1973,1ª,2,2
Zaragoza,At. Madrid,33,Zaragoza,1972-1973,1ª,1,1
Granada,Barcelona,33,Granada,1972-1973,1ª,0,2
Real Sociedad,Ath. Bilbao,34,Real Sociedad,1972-1973,1ª,1,0
Malaga (C.D.),Espanyol,34,Malaga (C.D.),1972-1973,1ª,0,1
Celta,Real Madrid,34,Celta,1972-1973,1ª,3,0
Castellon,Betis,34,Castellon,1972-1973,1ª,3,1
Sporting Gijon,Oviedo,34,Sporting Gijon,1972-1973,1ª,1,0
Las Palmas,Valencia,34,Las Palmas,1972-1973,1ª,1,0
At. Madrid,Dptivo. Coruña,34,At. Madrid,1972-1973,1ª,3,1
Barcelona,Zaragoza,34,Barcelona,1972-1973,1ª,1,1
Burgos,Granada,34,Burgos,1972-1973,1ª,2,1
Mallorca,Rayo Vallecano,1,Mallorca,1972-1973,2ª,2,1
Barakaldo,Pontevedra,1,Barakaldo,1972-1973,2ª,3,0
Sant Andreu,Gimn. Tarragona,1,Sant Andreu,1972-1973,2ª,1,2
Elche,Cult. Leonesa,1,Elche,1972-1973,2ª,3,2
Sevilla,Tenerife,1,Sevilla,1972-1973,2ª,3,0
Valladolid,Hercules,1,Valladolid,1972-1973,2ª,1,1
Valencia B,Murcia,1,Valencia B,1972-1973,2ª,0,0
Cadiz,Sabadell,1,Cadiz,1972-1973,2ª,3,1
Cordoba,Logroñes,1,Cordoba,1972-1973,2ª,2,1
Osasuna,Rac. Santander,1,Osasuna,1972-1973,2ª,0,1
Rayo Vallecano,Osasuna,2,Rayo Vallecano,1972-1973,2ª,7,0
Pontevedra,Mallorca,2,Pontevedra,1972-1973,2ª,1,3
Gimn. Tarragona,Barakaldo,2,Gimn. Tarragona,1972-1973,2ª,2,0
Cult. Leonesa,Sant Andreu,2,Cult. Leonesa,1972-1973,2ª,1,2
Tenerife,Elche,2,Tenerife,1972-1973,2ª,0,0
Hercules,Sevilla,2,Hercules,1972-1973,2ª,1,1
Murcia,Valladolid,2,Murcia,1972-1973,2ª,2,1
Sabadell,Valencia B,2,Sabadell,1972-1973,2ª,2,1
